,sepal_length,sepal_width,petal_length,petal_width
0,7.5,2.1,1.6,2.1
1,6.7,3.0,5.3,1.4
2,7.2,4.3,5.3,2.3
3,6.5,3.1,4.5,2.1
4,5.0,3.3,1.5,1.5
5,7.0,3.1,2.5,0.9
6,4.8,4.1,3.1,2.2
7,6.2,3.6,6.3,1.7
8,4.4,4.4,6.1,1.3
9,4.4,3.5,6.3,0.2
10,7.3,3.2,6.6,0.4
11,5.8,3.0,3.7,1.6
12,4.7,3.5,6.1,0.1
13,5.4,3.5,4.6,1.8
14,4.9,3.4,2.2,0.3
15,6.1,2.4,5.6,2.3
16,6.1,3.0,3.3,0.8
17,5.7,2.4,2.8,1.3
18,7.3,3.6,1.5,1.1
19,7.1,4.0,6.6,2.1
20,7.8,3.7,2.7,2.4
21,6.4,3.2,4.2,2.0
22,4.8,3.8,3.5,1.3
23,6.5,2.2,5.1,2.1
24,4.3,3.7,2.3,2.4
25,6.8,2.3,5.7,0.5
26,6.8,2.7,1.8,1.1
27,5.0,4.3,6.5,0.2
28,6.0,2.0,2.8,1.8
29,7.2,2.4,2.1,1.5
30,7.0,2.0,5.1,2.3
31,5.9,3.0,4.8,0.8
32,5.8,4.3,4.4,1.9
33,4.6,3.8,2.7,1.4
34,7.7,3.2,5.3,2.2
35,7.6,3.3,2.4,0.2
36,6.8,2.0,6.6,1.7
37,5.1,3.0,3.0,0.4
38,7.2,3.8,2.0,0.4
39,4.6,3.8,3.5,1.9
40,5.7,2.1,2.1,0.5
41,5.6,2.3,2.9,0.8
42,6.5,2.0,6.2,1.2
43,7.8,4.3,6.3,1.4
44,5.4,2.2,5.1,0.4
45,6.1,4.4,1.6,2.4
46,4.8,2.3,2.6,1.4
47,6.8,2.9,3.7,0.9
48,5.8,2.6,2.4,0.2
49,4.8,4.2,1.1,2.2
50,5.4,3.4,4.0,1.9
51,7.1,2.9,1.6,1.2
52,7.8,2.0,3.4,1.6
53,6.3,3.1,6.3,0.5
54,5.8,3.9,1.2,1.1
55,7.3,2.4,2.0,2.4
56,6.2,3.1,6.8,2.4
57,7.5,4.0,4.1,1.6
58,7.5,4.3,6.5,0.7
59,6.5,2.4,4.3,0.2
60,6.5,2.3,2.5,1.5
61,7.6,4.2,4.0,1.5
62,5.8,4.4,4.9,0.3
63,6.6,3.1,5.3,0.1
64,5.7,3.5,2.8,0.9
65,7.7,3.6,4.0,1.6
66,7.4,2.5,6.0,2.3
67,7.8,2.4,6.8,0.7
68,7.6,3.6,3.0,1.9
69,6.8,4.2,1.4,1.7
70,4.9,4.1,1.2,1.1
71,5.6,2.8,2.8,1.8
72,7.6,2.4,1.9,1.4
73,5.5,3.4,3.5,2.3
74,6.3,2.0,4.7,2.0
75,5.9,3.0,6.8,0.9
76,7.1,3.2,2.8,2.4
77,5.6,3.6,5.8,1.9
78,7.0,4.3,2.8,1.1
79,6.2,3.8,5.2,2.3
80,6.4,3.9,1.3,1.9
81,6.0,2.6,3.1,0.4
82,5.7,2.7,4.7,0.3
83,7.1,2.7,2.2,1.4
84,7.0,3.8,6.3,2.3
85,6.7,2.2,3.2,1.2
86,6.7,4.0,2.1,1.1
87,6.0,4.1,2.5,0.1
88,4.3,4.3,4.4,2.4
89,6.4,4.3,2.0,0.5
90,7.4,3.5,4.1,0.6
91,6.2,2.1,3.9,2.4
92,5.7,2.5,2.5,0.5
93,4.5,2.3,2.1,2.3
94,5.4,3.3,1.9,0.9
95,4.4,4.4,5.1,0.1
96,6.4,2.4,6.5,2.4
97,5.5,2.0,2.7,0.7
98,6.4,2.0,3.9,1.8
99,7.5,3.0,4.1,0.2
100,6.8,2.0,1.7,2.0
101,7.0,3.9,5.9,0.4
102,5.2,4.4,1.6,0.1
103,4.9,2.2,6.3,1.6
104,6.6,2.0,6.4,1.3
105,5.4,3.1,6.3,0.2
106,6.6,4.0,2.3,2.1
107,5.0,2.2,2.9,1.7
108,6.1,4.2,1.6,1.4
109,6.1,2.6,4.7,2.0
110,6.4,2.9,4.4,0.6
111,7.3,2.6,5.9,1.9
112,6.4,4.3,6.4,2.3
113,5.6,4.4,2.7,2.0
114,5.6,2.3,2.4,1.5
115,4.5,4.2,4.5,0.2
116,6.1,2.9,3.4,1.4
117,5.0,2.9,2.2,0.1
118,4.7,3.2,1.3,1.9
119,5.1,3.7,1.2,1.3
120,6.9,3.4,4.1,1.9
121,4.8,3.6,2.6,0.9
122,6.1,4.1,4.5,0.7
123,6.9,3.9,6.1,2.4
124,5.7,4.3,3.1,0.5
125,6.6,3.6,1.4,0.7
126,5.5,3.7,4.9,2.0
127,4.5,3.1,5.9,2.1
128,7.1,3.2,6.7,1.5
129,5.4,3.7,4.5,0.7
130,6.6,2.2,3.7,0.7
131,4.5,2.4,1.8,1.4
